"","X","name","country","exile.starts","exile.ends","PoliticalUpheaval.","Destination1","Destination2","Destination3","Return.","origin_religion","d1_religion","last_destination","d_final_religion","origin_region","d1_region","d_final_region","origin_language","d_final_language","origin_PolV","d1_PolV","d_final_PolV"
"162",138,"Ntare V","Burundi",1966,"1972","Coup","Germany","Uganda",,"Yes civil","Christians","Christians","Uganda","Christians","Sub-Saharan Africa","Europe","Sub-Saharan Africa","French","English",-7,10,0
"163",78,"Ould Haidalla","Mauritania",1984,"1984","coup","Burundi",,,"","Muslims","Christians","Burundi","Christians","Sub-Saharan Africa","Sub-Saharan Africa","Sub-Saharan Africa","Arabic","French",-7,-7,-7
"164",211,"Pascal Lissouba","Congo",1997,"2010","rebellion","Gabon","France","South Africa","No","Christians","Christians","South Africa","Christians","Sub-Saharan Africa","Sub-Saharan Africa","Sub-Saharan Africa","French","English",-6,-4,9
"165",132,"Paul Magloire","Haiti",1956,"1986","popular uprising","United States",,,"Yes civil","Christians","Christians","United States","Christians","Latin America-Caribbean","North America","North America","French","English",0,9,9
"166",80,"Pereda Asbun","Bolivia",1978,"1979","coup","United States",,,"","Christians","Christians","United States","Christians","Latin America-Caribbean","North America","North America","Spanish","English",-4,10,10
"167",204,"Pervez Musharraf","Pakistan",2008,"2010","popular uprising","United Kingdom","United Arab Emirates",,"Yes prosecuted","Muslims","Christians","United Arab Emirates","Muslims","Asia-Pacific","Europe","Middle East-North Africa","English","Arabic",5,10,-8
"168",190,"Peter II","Yugoslavia",1941,"1970","other","Greece","United Kingdom","United States","No","Christians","Christians","United States","Christians","Europe","Europe","North America","Russian","English",0,0,9
"169",218,"Phraya Manopakorn Nititada","Thailand",1933,"1948","coup","Malaysia",,,"No","Buddhists","Muslims","Malaysia","Muslims","Asia-Pacific","Asia-Pacific","Asia-Pacific","English","English",-6,,
"170",217,"Plaek Phibunsongkhram","Thailand",1957,"1964","coup","Japan","Cambodia","United States","Yes, president","Buddhists","Buddhists","United States","Christians","Asia-Pacific","Asia-Pacific","North America","English","English",-3,10,9
"171",201,"Pridi Banomyong","Thailand",1947,"1983","coup","China","France",,"No","Buddhists","Buddhists","France","Christians","Asia-Pacific","Asia-Pacific","Europe","English","French",-3,-5,8
"172",203,"Prince Nicholas","Romania",1930,"1978","other","Switzerland","Spain",,"No","Christians","Christians","Spain","Christians","Europe","Europe","Europe","Romanian","Spanish",-4,10,1
"173",150,"Prince Paul","Yugoslavia",1941,"1976","coup","Greece","Egypt","France","No","Christians","Christians","France","Christians","Europe","Europe","Europe","Russian","French",0,0,10
"174",124,"Prio Socarras (1)","Cuba",1952,"1959","coup","United States",,,"","Christians","Christians","United States","Christians","Latin America-Caribbean","North America","North America","Spanish","English",0,9,9
"175",126,"Prio Socarras (2)","Cuba",1961,"1977","rebellion","Dominican Republic","Portugal","Spain","No","Christians","Christians","Spain","Christians","Latin America-Caribbean","Latin America-Caribbean","Europe","Spanish","Spanish",-7,-6,-7
"176",13,"Prosper Avril","Haiti",1990,"1994","popular uprising","United States","Dominican Republic",,"","Christians","Christians","Dominican Republic","Christians","Latin America-Caribbean","North America","Latin America-Caribbean","French","Spanish",0,10,5
"177",214,"R´omulo Betancourt","Venezuela",1948,"1959","coup","United States","Cuba","Costa Rica","Yes, president","Christians","Christians","Costa Rica","Christians","Latin America-Caribbean","North America","Latin America-Caribbean","Spanish","Spanish",-3,9,4
"178",209,"R´omulo Gallegos","Venezuela",1948,"1958","coup","Cuba","Mexico","United States","No","Christians","Christians","United States","Christians","Latin America-Caribbean","Latin America-Caribbean","North America","Spanish","English",-3,3,9
"179",29,"Ra´ul Cubas Grau","Paraguay",1999,"2002","popular uprising","Brazil",,,"","Christians","Christians","Brazil","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Portuguese",7,8,8
"180",180,"Rafael Franco","Paraguay",1937,"1964","coup","Uruguay","Argentina",,"Yes civil","Christians","Christians","Argentina","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",2,0,5
"181",81,"Raimundo Pereira","Guinea-Bissau",2012,"2020","coup","Netherlands",,,"","Muslims","Christians","Netherlands","Christians","Sub-Saharan Africa","Europe","Europe","Portuguese","Dutch",1,10,10
"182",184,"Ram´on Villeda Morales","Honduras",1963,"1964","coup","United States",,,"Yes civil","Christians","Christians","United States","Christians","Latin America-Caribbean","North America","North America","Spanish","English",-1,9,9
"183",136,"Ramón Castro Jijón","Ecuador",1967,"1970","other","Chile",,,"Yes civil","Christians","Christians","Chile","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",2,6,6
"184",27,"Raoul C´edras","Haiti",1994,"2010","other","Panama",,,"","Christians","Christians","Panama","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","French","Spanish",6,9,9
"185",43,"Robert Gu´e ´ ’i","Ivory Coast",2000,"2001","popular uprising","Benin",,,"","Muslims","Christians","Benin","Christians","Sub-Saharan Africa","Sub-Saharan Africa","Sub-Saharan Africa","French","French",4,6,6
"186",86,"Sadiq al-Mahdi","Sudan",1996,"2000","coup","Eritrea",,,"","Muslims","Muslims","Eritrea","Muslims","Middle East-North Africa","Sub-Saharan Africa","Sub-Saharan Africa","Arabic","Arabic",-7,-6,-6
"187",85,"Said bin Taimur","Oman",1970,"1972","other","United Kingdom",,,"","Muslims","Christians","United Kingdom","Christians","Middle East-North Africa","Europe","Europe","Arabic","English",-10,10,10
"188",219,"Saud","Saudi Arabia",1964,"1969","other","Greece",,,"No","Muslims","Christians","Greece","Christians","Middle East-North Africa","Europe","Europe","Arabic","Greek",-10,4,4
"189",115,"Shefqet V ’erlaci","Albania",1941,"1946","rebellion","Italy",,,"No","Muslims","Christians","Italy","Christians","Europe","Europe","Europe","Albanian","Italian",0,-9,-9
"190",197,"Shukri al-Quwatli (1)","Syria",1949,"1955","coup","Egypt",,,"Yes, president","Muslims","Muslims","Egypt","Muslims","Middle East-North Africa","Middle East-North Africa","Middle East-North Africa","Arabic","Arabic",1,1,1
"191",202,"Shukri al-Quwatli (2)","Syria",1959,"1967","coup","Egypt",,,"Yes civil","Muslims","Muslims","Egypt","Muslims","Middle East-North Africa","Middle East-North Africa","Middle East-North Africa","Arabic","Arabic",2,-7,-7
"192",88,"Siad Barre","Somalia",1991,"1995","rebellion","Kenya","Nigeria",,"","Muslims","Christians","Nigeria","Muslims","Sub-Saharan Africa","Sub-Saharan Africa","Sub-Saharan Africa","Arabic","English",0,-5,-5
"193",89,"Sidi Ahmed Taya","Mauritania",2005,"2010","coup","Qatar",,,"","Muslims","Muslims","Qatar","Muslims","Sub-Saharan Africa","Middle East-North Africa","Middle East-North Africa","Arabic","Arabic",-5,-10,-10
"194",193,"Souvanna Phouma","Laos",1960,"1962","rebellion","France","Cambodia",,"Yes, president","Buddhists","Christians","Cambodia","Buddhists","Asia-Pacific","Europe","Asia-Pacific","French","Khmer",-4,4,-9
"195",192,"Syngman Rhee","South Korea",1960,"1965","popular uprising","United States",,,"No","Christians","Christians","United States","Christians","Asia-Pacific","North America","North America",,"English",8,9,9
"196",189,"Talal bin Abdullah","Jordan",1952,"1972","other","Turkey",,,"No","Muslims","Muslims","Turkey","Muslims","Middle East-North Africa","Asia-Pacific","Asia-Pacific","Arabic","Turkish",-4,7,7
"197",162,"Teodoro Picado Michalski","Costa Rica",1948,"1960","rebellion","Costa Rica","Nicaragua",,"No","Christians","Christians","Nicaragua","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",4,4,-8
"198",39,"Tesfaye Gebre Kidan","Ethiopia",1991,"2004","rebellion","Italy",,,"","Christians","Christians","Italy","Christians","Sub-Saharan Africa","Europe","Europe","Amharic","Italian",1,10,10
"199",91,"Th´eodore Sindikubwabo","Rwanda",1994,"1998","rebellion","Congo",,,"","Christians","Christians","Congo","Christians","Sub-Saharan Africa","Sub-Saharan Africa","Sub-Saharan Africa","English","French",-6,5,5
"200",95,"Thaksin Shinawatra","Thailand",2006,"2010","coup","United Kingdom",,,"","Buddhists","Christians","United Kingdom","Christians","Asia-Pacific","Europe","Europe","English","English",-5,10,10
"201",96,"Thanom Kittikachorn","Thailand",1973,"1976","popular uprising","United States","Singapore",,"","Buddhists","Christians","Singapore","Buddhists","Asia-Pacific","North America","Asia-Pacific","English","English",-2,8,-4
"202",121,"V´ıctor Paz Estenssoro (1)","Bolivia",1964,"1971","coup","Peru",,,"","Christians","Christians","Peru","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",-4,5,5
"203",125,"V´ıctor Paz Estenssoro (2)","Bolivia",1974,"1978","coup","Uruguay","Argentina","Peru","No","Christians","Christians","Peru","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",-7,-8,-7
